m,deg_Pm,Pm_irreducible,n_factors,M_Pm,deg_smallest_factor,M_smallest_factor,factor_in_database
71,72,1,1,1.25759305877995795590824966228,72,1.25759305877995795590824966228,True
73,74,1,1,1.25532514865117383207951539607,74,1.25532514865117383207951539607,True
75,76,0,2,1.26148078416953904319622209454,72,1.26148078416953904319622209454,True
77,78,1,1,1.25047814589375672171289252435,78,1.25047814589375672171289252435,True
79,80,1,1,1.26127557118491972649699410220,80,1.26127557118491972649699410220,True
81,82,1,1,1.24537083699093939589028211580,82,1.24537083699093939589028211580,True
83,84,1,1,1.25923691724740955997602238458,84,1.25923691724740955997602238458,True
85,86,1,1,1.25520491838294098414691176376,86,1.25520491838294098414691176376,True
87,88,1,1,1.25620348345383266701012366897,88,1.25620348345383266701012366897,True
89,90,1,1,1.25971178363673670124767494349,90,1.25971178363673670124767494349,True
91,92,1,1,1.25259856091966441984657732255,92,1.25259856091966441984657732255,True
93,94,0,2,1.26014317474692007338868803663,90,1.26014317474692007338868803663,True
95,96,1,1,1.24866635341043763793333709030,96,1.24866635341043763793333709030,True
97,98,1,1,1.25888338867466916389596610922,98,1.25888338867466916389596610922,True
99,100,0,2,1.25282547686146519936093141624,96,1.25282547686146519936093141624,True
101,102,1,1,1.25669211073596931846608659002,102,1.25669211073596931846608659002,True
103,104,1,1,1.25836988873434785109259305703,104,1.25836988873434785109259305703,True
105,106,1,1,1.25393914580439188759007271358,106,1.25393914580439188759007271358,True
107,108,1,1,1.25927291218944754289274444497,108,1.25927291218944754289274444497,True
109,110,1,1,1.25083755122749891665951324045,110,1.25083755122749891665951324045,True
111,112,1,1,1.25855657308361055933471735445,112,1.25855657308361055933471735445,True
113,114,0,2,1.24752150992808736740612592185,106,1.24752150992808736740612592185,True
115,116,1,1,1.25695983588299518115243308205,116,1.25695983588299518115243308205,True
117,118,0,2,1.25725553978796935386960470784,114,1.25725553978796935386960470784,True
119,120,1,1,1.25482079148043250440076864298,120,1.25482079148043250440076864298,True
121,122,1,1,1.25856137971387124295363592786,122,1.25856137971387124295363592786,True
123,124,0,2,1.25233063023686975627403078481,120,1.25233063023686975627403078481,True
125,126,1,1,1.25825040064455036690556959332,126,1.25825040064455036690556959332,True
127,128,0,2,1.24960981767834514592914363658,120,1.24960981767834514592914363658,True
129,130,1,1,1.25709407780944319509338926142,130,1.25709407780944319509338926142,True
131,132,1,1,1.25623921853845346511149365543,132,1.25623921853845346511149365543,True
133,134,1,1,1.25541511504899213460067967546,134,1.25541511504899213460067967546,True
135,136,1,1,1.25794877031570510170670105370,136,1.25794877031570510170670105370,True
137,138,1,1,1.25339010956890260086112529987,138,1.25339010956890260086112529987,True
139,140,1,1,1.25795989296883568824884084691,140,1.25795989296883568824884084691,True
141,142,0,2,1.25112917508848508738446780061,138,1.25112917508848508738446780061,True
143,144,1,1,1.25714344165762658819936414420,144,1.25714344165762658819936414420,True
145,146,1,1,1.25519596168640108285908802160,146,1.25519596168640108285908802160,True
147,148,0,2,1.25582065001636595661008433897,144,1.25582065001636595661008433897,True
149,150,1,1,1.25739611473404987269647936364,150,1.25739611473404987269647936364,True
151,152,1,1,1.25415933780904613337231538679,152,1.25415933780904613337231538679,True
153,154,1,1,1.25768064776525825043138345096,154,1.25768064776525825043138345096,True
155,156,1,1,1.25226213542453649657285205979,156,1.25226213542453649657285205979,True
157,158,1,1,1.25713641868819931086999166928,158,1.25713641868819931086999166928,True
159,160,1,1,1.25387760681600439431826554059,160,1.25387760681600439431826554059,True
161,162,1,1,1.25609718380765243553796381040,162,1.25609718380765243553796381040,True
163,164,1,1,1.25687397912718009948968499427,164,1.25687397912718009948968499427,True
165,166,0,2,1.25472694927329684406850007673,162,1.25472694927329684406850007673,True
167,168,1,1,1.25740851691165233153502187271,168,1.25740851691165233153502187271,True
169,170,1,1,1.25312328102137136075344847430,170,1.25312328102137136075344847430,True
171,172,0,2,1.25709035680955309355642480584,168,1.25709035680955309355642480584,True
173,174,0,2,1.25135058919608408368053164023,166,1.25135058919608408368053164023,True
175,176,1,1,1.25628262102704846088402237244,176,1.25628262102704846088402237244,True
177,178,1,1,1.25635492355913276649310266300,178,1.25635492355913276649310266300,True
179,180,1,1,1.25515015552189297361742565955,180,1.25515015552189297361742565955,True
181,182,1,1,1.25713930018115870749202137921,182,1.25713930018115870749202137921,True
183,184,1,1,1.25378756531464316925843742506,184,1.25378756531464316925843742506,True
185,186,1,1,1.25701606715918509145656155447,186,1.25701606715918509145656155447,True
187,188,0,2,1.25225621076049531476843716632,180,1.25225621076049531476843716632,True
189,190,0,2,1.25640185084278355684963977023,186,1.25640185084278355684963977023,True
191,192,1,1,1.25580464188273064316363116583,192,1.25580464188273064316363116583,True
193,194,1,1,1.25546721199632384145023161031,194,1.25546721199632384145023161031,True
195,196,0,2,1.25686836282463330405327596796,192,1.25686836282463330405327596796,True
197,198,1,1,1.25430572681443073679060877530,198,1.25430572681443073679060877530,True
199,200,1,1,1.25692031372866138391113686973,200,1.25692031372866138391113686973,True
201,202,1,1,1.25297670627431277508652151925,202,1.25297670627431277508652151925,True
203,204,1,1,1.25647167562027981259307269231,204,1.25647167562027981259307269231,True
205,206,1,1,1.25516062639969966343159932044,206,1.25516062639969966343159932044,True
207,208,1,1,1.25570445874547347908431141771,208,1.25570445874547347908431141771,True
209,210,1,1,1.25659005417064952535092062954,210,1.25659005417064952535092062954,True
211,212,1,1,1.25471311463144336004608153557,212,1.25471311463144336004608153557,True
213,214,0,2,1.25680720173884627472340153962,210,1.25680720173884627472340153962,True
215,216,1,1,1.25355582265836171342305620089,216,1.25355582265836171342305620089,True
217,218,1,1,1.25650367724859788411154692721,218,1.25650367724859788411154692721,True
219,220,0,2,1.25422049415240801858181802844,216,1.25422049415240801858181802844,True
221,222,1,1,1.25588047891190587784179208231,222,1.25588047891190587784179208231,True
223,224,1,1,1.25629666486439156244619921418,224,1.25629666486439156244619921418,True
225,226,1,1,1.25503496487066190185829236022,226,1.25503496487066190185829236022,True
227,228,1,1,1.25667894850644040016745973153,228,1.25667894850644040016745973153,True
229,230,1,1,1.25402506361235106166714012730,230,1.25402506361235106166714012730,True
231,232,1,1,1.25650594583760558111424851182,232,1.25650594583760558111424851182,True
233,234,0,2,1.25288937604097921411221210572,226,1.25288937604097921411221210572,True
235,236,1,1,1.25600864934624467441716668953,236,1.25600864934624467441716668953,True
237,238,0,2,1.25597622926719493793610478580,234,1.25597622926719493793610478580,True
239,240,1,1,1.25528967334788746286800592763,240,1.25528967334788746286800592763,True
241,242,1,1,1.25653626784986504737103598996,242,1.25653626784986504737103598996,True
243,244,0,2,1.25440758767338388113208801304,240,1.25440758767338388113208801304,True
245,246,1,1,1.25648415063846763840202097192,246,1.25648415063846763840202097192,True
247,248,0,2,1.25340052451443808372343011838,240,1.25340052451443808372343011838,True
249,250,1,1,1.25609875569794437864439846273,250,1.25609875569794437864439846273,True
251,252,1,1,1.25560689979616835931956317430,252,1.25560689979616835931956317430,True
253,254,1,1,1.25549089070415986863252762981,254,1.25549089070415986863252762981,True
255,256,1,1,1.25637845819764209619441385756,256,1.25637845819764209619441385756,True
257,258,1,1,1.25472072574395185612930004374,258,1.25472072574395185612930004374,True
259,260,1,1,1.25644221221755645987559561749,260,1.25644221221755645987559561749,True
261,262,0,2,1.25382637235622808808515404854,258,1.25382637235622808808515404854,True
263,264,1,1,1.25615804262002973885950846635,264,1.25615804262002973885950846635,True
265,266,1,1,1.25513748840538715019345787417,266,1.25513748840538715019345787417,True
267,268,0,2,1.25564890079844663483964695171,264,1.25564890079844663483964695171,True
269,270,1,1,1.25620317034266893241729374944,270,1.25620317034266893241729374944,True
271,272,1,1,1.25497765115934465021332341599,272,1.25497765115934465021332341599,True
273,274,1,1,1.25638271846584840946501911344,274,1.25638271846584840946501911344,True
275,276,1,1,1.25418284563927500314338526525,276,1.25418284563927500314338526525,True
277,278,1,1,1.25619191109490178259064214503,278,1.25619191109490178259064214503,True
279,280,1,1,1.25435081307878261876737162618,280,1.25435081307878261876737162618,True
281,282,1,1,1.25577154922363707522422293019,282,1.25577154922363707522422293019,True
283,284,1,1,1.25600565729974796537417296998,284,1.25600565729974796537417296998,True
285,286,0,2,1.25518851391659394553270620362,282,1.25518851391659394553270620362,True
287,288,1,1,1.25630716039106087913868875781,288,1.25630716039106087913868875781,True
289,290,1,1,1.25448229408976426581550279084,290,1.25448229408976426581550279084,True
291,292,0,2,1.25620438779078469597440287729,288,1.25620438779078469597440287729,True
293,294,0,2,1.25367917781984813617040208841,286,1.25367917781984813617040208841,True
295,296,1,1,1.25586488149984948781450072507,296,1.25586488149984948781450072507,True
297,298,1,1,1.25577685811121002225139545766,298,1.25577685811121002225139545766,True
299,300,1,1,1.25536122708885334558431764950,300,1.25536122708885334558431764950,True
301,302,1,1,1.25621601884781131279547514882,302,1.25621601884781131279547514882,True
303,304,1,1,1.25473441049662392760294429837,304,1.25473441049662392760294429837,True
305,306,1,1,1.25619844143689332519302222470,306,1.25619844143689332519302222470,True
307,308,0,2,1.25401102004078493139438494234,300,1.25401102004078493139438494234,True
309,310,0,2,1.25593358902554887530684322081,306,1.25593358902554887530684322081,True
311,312,1,1,1.25549798823003742084358546225,312,1.25549798823003742084358546225,True
313,314,1,1,1.25550202208417927786002008976,314,1.25550202208417927786002008976,True
315,316,0,2,1.25610869110769538356046874273,312,1.25610869110769538356046874273,True
317,318,1,1,1.25494688401816503068984157530,318,1.25494688401816503068984157530,True
319,320,1,1,1.25617619105345051168464610272,320,1.25617619105345051168464610272,True
321,322,1,1,1.25429533965760524073440991963,322,1.25429533965760524073440991963,True
323,324,1,1,1.25598132447296055970502062962,324,1.25598132447296055970502062962,True
325,326,1,1,1.25511976406787848874624238919,326,1.25511976406787848874624238919,True
327,328,1,1,1.25561584693436255104986087584,328,1.25561584693436255104986087584,True
329,330,1,1,1.25598318127831184257472525974,330,1.25598318127831184257472525974,True
331,332,1,1,1.25512587198689764521239298263,332,1.25512587198689764521239298263,True
333,334,0,2,1.25613903101038099343554185902,330,1.25613903101038099343554185902,True
335,336,1,1,1.25453944945833811224041555671,336,1.25453944945833811224041555671,True
337,338,1,1,1.25601092605923262410425080075,338,1.25601092605923262410425080075,True
339,340,0,2,1.25434347792897410352825212576,336,1.25434347792897410352825212576,True
341,342,1,1,1.25570665581675639184547992740,342,1.25570665581675639184547992740,True
343,344,1,1,1.25583532870204145982156258024,344,1.25583532870204145982156258024,True
345,346,1,1,1.25527634558777352260818473563,346,1.25527634558777352260818473563,True
347,348,1,1,1.25608768230693485484163195754,348,1.25608768230693485484163195754,True
349,350,1,1,1.25474928715598236771217541237,350,1.25474928715598236771217541237,True
351,352,1,1,1.25602457600009354748450694464,352,1.25602457600009354748450694464,True
353,354,0,2,1.25414488888487911211556073718,346,1.25414488888487911211556073718,True
355,356,1,1,1.25577762170456050288470862876,356,1.25577762170456050288470862876,True
357,358,0,2,1.25565688929937120324904065130,354,1.25565688929937120324904065130,True
359,360,1,1,1.25540234636784840963843488671,360,1.25540234636784840963843488671,True
361,362,1,1,1.25602216272330223776321152725,362,1.25602216272330223776321152725,True
363,364,0,2,1.25492971115153488905862572817,360,1.25492971115153488905862572817,True
365,366,1,1,1.25602390898855935917552430761,366,1.25602390898855935917552430761,True
367,368,0,2,1.25437967415240682112368855294,360,1.25437967415240682112368855294,True
369,370,1,1,1.25583129354346801659964255564,370,1.25583129354346801659964255564,True
371,372,1,1,1.25542991244819423555968062233,372,1.25542991244819423555968062233,True
373,374,1,1,1.25550717867220394241215003909,374,1.25550717867220394241215003909,True
375,376,1,1,1.25594164209312411362386427197,376,1.25594164209312411362386427197,True
377,378,1,1,1.25508472380084816838174580047,378,1.25508472380084816838174580047,True
